symbol,Date,close,high,low,open,volume
DATA,2014-05-20,57.11,59.58,55.58,57.64,2504200
DATA,2014-05-21,57.88,57.96,54.36,57.39,3186000
DATA,2014-05-22,58.63,59.68,56.8,57.99,1861000
DATA,2014-05-23,60.6,60.77,56.94,58.69,1573500
DATA,2014-05-27,62.85,64.38,61.08,61.29,2679500
DATA,2014-05-28,62.02,64,61.11,63.99,2157600
DATA,2014-05-29,61.5,62.695,60.68,62.46,1194700
DATA,2014-05-30,58.04,61.18,57.16,60.85,2068700
DATA,2014-06-02,58.09,58.46,56.355,57.74,1786200
DATA,2014-06-03,56.17,58.03,55.8,57.89,1496400
DATA,2014-06-04,56.96,58.26,55.43,55.54,1570700
DATA,2014-06-05,59.78,59.98,56.06,56.88,1614700
DATA,2014-06-06,61.71,62.1,59.55,60,1556700
DATA,2014-06-09,61.9,62.48,60.12,61.32,1199000
DATA,2014-06-10,61.36,63.07,60.85,61.65,644400
DATA,2014-06-11,63.96,64.83,61.301,61.4,2132600
DATA,2014-06-12,63.42,65.259,62.8,63.27,1026900
DATA,2014-06-13,64.14,64.48,62.61,63.79,819800
DATA,2014-06-16,66.23,66.44,63.7601,64.05,1318600
DATA,2014-06-17,65.58,66.9,65.14,66.46,975400
DATA,2014-06-18,67.69,68.14,64.6,66,1025900
DATA,2014-06-19,67.53,69.207,66.64,68.2,1127200
DATA,2014-06-20,67,67.77,65.63,67.74,1456000
DATA,2014-06-23,69.31,69.42,66.68,67.29,1940900
DATA,2014-06-24,69.89,70.96,68.35,68.59,1518700
DATA,2014-06-25,70.21,70.68,68.86,69.33,1018200
DATA,2014-06-26,70.64,71.63,69.43,70.05,951200
DATA,2014-06-27,70,71.029,69.11,70.33,2662000
DATA,2014-06-30,71.33,71.68,69.865,70.23,1076600
DATA,2014-07-01,72.14,73.87,71.2,71.73,1593000
DATA,2014-07-02,71.89,72.96,71.31,72.19,633600
DATA,2014-07-03,69.14,71.98,68.7,71.68,1005200
DATA,2014-07-07,67.24,69.69,66.91,68.67,1243700
DATA,2014-07-08,60.42,67,60.23,66.91,3181900
DATA,2014-07-09,61.43,62.39,59.74,60.91,1710800
DATA,2014-07-10,60.96,61.76,58.28,58.85,1315400
DATA,2014-07-11,61.02,61.91,60.75,60.89,577900
DATA,2014-07-14,63.79,64.57,61.6,61.67,1245300
DATA,2014-07-15,61.05,64.2274,60.7,63.85,1262100
DATA,2014-07-16,61,62.09,60.5,61.6,682000
DATA,2014-07-17,59.68,61.35,59.34,60.5,1215800
DATA,2014-07-18,59.69,61.3,59.55,60.76,1097000
DATA,2014-07-21,60.93,61.29,59.69,59.95,757700
DATA,2014-07-22,61.62,62.81,61.26,61.38,603300
DATA,2014-07-23,62.44,62.62,61.1676,62.39,509600
DATA,2014-07-24,63.98,64.19,62.3,62.39,520300
DATA,2014-07-25,64.8,65.89,64.29,64.34,986700
DATA,2014-07-28,64.54,65.14,63.84,64.8,677900
DATA,2014-07-29,64.72,65.57,64.16,64.7,597100
DATA,2014-07-30,67.64,68.06,65,65.27,1855600
DATA,2014-07-31,65,67.25,64,67,2073200
DATA,2014-08-01,61.94,67.89,60.53,67.89,3907300
DATA,2014-08-04,63.42,63.66,61.22,62.13,1504600
DATA,2014-08-05,62.52,62.95,61.32,62.5,1156700
DATA,2014-08-06,61.34,62.73,60.86,61.59,1108900
DATA,2014-08-07,61.31,62.07,60.45,62.07,855700
DATA,2014-08-08,60.14,61.25,59.56,61.25,1247000
DATA,2014-08-11,59.41,60.472,58.32,60.25,1794500
DATA,2014-08-12,58.24,59.772,57.89,59.5,1210900
DATA,2014-08-13,61.22,61.5,58.26,58.71,1767600
DATA,2014-08-14,60.23,61.3,59.92,61.13,805100
DATA,2014-08-15,58.99,61,58.2,60.69,1636600
DATA,2014-08-18,60.65,60.87,58.97,59.35,1066400
DATA,2014-08-19,61.76,61.949,60.03,60.71,855900
DATA,2014-08-20,61.38,61.946,60.83,61.65,637400
DATA,2014-08-21,59.68,61,58.46,61,1620500
DATA,2014-08-22,60.98,61.3,59.67,59.73,1304100
DATA,2014-08-25,59.97,61.58,59.88,61.45,662800
DATA,2014-08-26,61.49,61.7,59.87,59.98,672300
DATA,2014-08-27,62.29,62.96,61.084,61.31,776900
DATA,2014-08-28,60.45,62.25,60.25,61.92,916300
DATA,2014-08-29,65.49,65.67,60.47,60.62,2659400
DATA,2014-09-02,68.18,68.25,64.8,65.14,1983600
DATA,2014-09-03,67.51,68.79,66.79,68.79,1264000
DATA,2014-09-04,67.15,68.91,66.915,68.3,890200
DATA,2014-09-05,69.38,69.82,66.6,67.01,1236700
DATA,2014-09-08,69.97,70.47,68.6,69,1665200
DATA,2014-09-09,69.73,70.87,69.25,70.19,1231600
DATA,2014-09-10,72.85,73,69.15,69.9,1704000
DATA,2014-09-11,75.55,76.48,72.11,73,2826600
DATA,2014-09-12,77.16,78.42,74.71,75.85,3376700
DATA,2014-09-15,71.37,76.41,70.3,76.38,2506800
DATA,2014-09-16,73.39,74.13,70.8,72.37,1774800
DATA,2014-09-17,73,74.195,72.51,73.62,973300
DATA,2014-09-18,72.04,73.99,71.98,73.39,905600
DATA,2014-09-19,73.26,73.34,70.02,72.63,1759900
